country,totaled costs
South Korea,117620.81
China,103873.97
China,90652.62
India,51643.79
India,43043.66
Bangladesh,72720.44
Japan,69510.16
Indonesia,71366.71
China,98184.16
Congo,101243.71
Thailand,112123.36
Pakistan,36335.83
Egypt,47735.69
Brazil,66225.68
Mexico,56604.61
Nigeria,66791.79
India,39807.99
China,110703.1
Russia,104811.37
Japan,78250.12
Philippines,63378.73
United States,140724.46
Turkey,85742.1
Argentina,62210.45
India,46895.06
Pakistan,35454.59
India,42281.72
China,70104.31
United Kingdom,121548.77
China,66584.11
India,41968.89
Iran,129201.0
France,103478.82
Japan,73088.35
Vietnam,101254.7
United States,106723.92
Peru,52986.1
Brazil,57815.16
China,61236.62
China,55746.17
Angola,68885.74
United States,91234.86
Vietnam,92340.76
China,66936.83
India,41807.54
India,41045.94
China,78756.72
China,75420.04
China,69249.67
China,77932.54
Colombia,39285.38
Malaysia,82656.73
China,57947.9
China,59127.06
China,53395.71
Hong Kong,152897.79
Tanzania,48838.98
China,66639.77
China,74435.52
Chile,48036.51
China,64088.96
China,84550.09
Saudi Arabia,61001.3
China,79444.79
United States,94380.91
Iraq,38644.27
Spain,79093.3
Sudan,57235.89
China,69894.66
China,61226.37
United States,81247.81
Egypt,37852.36
United States,104089.23
Kenya,48934.54
Mexico,45730.15
United States,93727.96
United States,99436.64
China,66087.6
China,111469.75
Canada,90666.9
Singapore,287567.66
United States,110294.15
Ivory Coast,64248.7
China,60818.28
Egypt,44517.13
Brazil,53532.82
United States,118447.64
Australia,93690.19
Spain,81308.12
Australia,83654.4
China,57978.52
China,46767.3
South Africa,51471.71
Morocco,54737.04
United States,89906.93
China,63038.59
Jordan,80120.21
China,55769.18
Japan,65134.68
United States,110444.89
Saudi Arabia,61822.92
Germany,93675.72
Algeria,63278.96
United States,79526.54
Canada,68936.78
India,43697.84
Pakistan,38536.64
China,67220.54
India,42563.08
United States,101902.71
Brazil,66820.63
Iran,110029.8
United States,88009.01
Ethiopia,115460.13
Kuwait,63483.11
South Korea,94631.38
Philippines,55884.58
Indonesia,62217.58
Indonesia,65662.04
United States,92638.35
Italy,83109.98
Guatemala,51633.91
United States,95336.46
Ukraine,52015.67
Taiwan,82373.52
Ecuador,62474.82
Taiwan,72878.48
Bolivia,47506.78
Taiwan,100965.84
Madagascar,53641.9
United States,116600.97
Dominican Republic,78793.46
Nigeria,33632.55
Colombia,43701.42
United Arab Emirates,79502.46
Uzbekistan,43909.62
Colombia,42181.7
Cameroon,36466.28
South Korea,84272.8
Brazil,53424.64
India,32157.21
Australia,71490.7
India,36834.92
Ghana,23350.11
Indonesia,72067.65
Japan,73711.52
Canada,94521.54
Indonesia,68818.63
Indonesia,61536.15
United States,105432.13
Azerbaijan,51965.45
Cuba,181309.54
China,63474.77
Zimbabwe,65935.99
Pakistan,30871.02
Cambodia,110225.73
United States,90008.8
United States,73012.44
United States,82453.98
India,33911.82
United States,97079.36
Ghana,25689.93
Pakistan,25631.32
Ecuador,60168.77
Australia,74785.53
India,38192.29
Pakistan,26341.2
Belarus,62115.32
Venezuela,77875.59
Japan,51266.82
India,36494.36
Mexico,42003.48
Iran,179610.35
Kazakhstan,53094.07
India,39190.04
Austria,81318.95
United States,96891.7
Taiwan,80100.42
China,58937.44
Brazil,56710.85
Pakistan,25478.32
Romania,61962.34
Germany,114960.73
United States,76723.38
Mexico,43999.68
India,33401.09
Syria,68075.78
Belgium,95161.1
Poland,70428.53
United States,115792.15
Hungary,64426.55
United States,77272.0
India,44722.24
United States,95901.88
Saudi Arabia,57148.62
Brazil,66065.87
United States,70641.18
Uganda,34794.47
Iraq,44471.39
Pakistan,28457.02
Indonesia,61254.11
Russia,94517.55
India,43614.17
United States,80340.56
India,25242.52
Mexico,47108.26
India,37243.73
Iran,111101.97
United States,97329.38
Iran,273701.28
Mexico,57724.86
United States,88266.06
Japan,62475.6
Japan,61479.35
India,32205.04
South Korea,85244.16
Brazil,52188.91
Germany,101362.57
Russia,95640.9
Japan,64930.49
Venezuela,68617.49
United States,78797.12
Ukraine,43483.0
United Arab Emirates,73834.2
