country,total fertility rate,total life expectancy,net primary school enrollment,poverty ratio
Aruba,1.179,74.992,,
,4.2818475464,62.888463229,,
Afghanistan,4.523,62.879,,
,4.9033471794,57.5891064274,,
Angola,5.209,61.929,,
Albania,1.376,76.833,,
Andorra,,,,
,3.1137973959,71.0781699372,,
United Arab Emirates,1.443,79.196,,
Argentina,1.876,76.064,,39.2
Armenia,1.575,73.372,,24.8
American Samoa,,,,
Antigua and Barbuda,1.58,79.236,,
Australia,1.63,83.2,,
Austria,1.41,81.0926829268,,
Azerbaijan,1.67,73.488,,
Burundi,4.98,61.977,,
Belgium,1.53,81.6975609756,,12.3
Benin,4.895,59.954,,
Burkina Faso,4.665,59.766,,
Bangladesh,1.95,73.698,,18.7
Bulgaria,1.78,74.3609756098,,20.6
Bahrain,1.797,79.246,,
Bahamas,1.38,74.358,,
Bosnia and Herzegovina,1.346,75.293,,
Belarus,1.495,73.1114634146,,3.9
Belize,1.989,70.962,,
Bermuda,1.3,81.571,,
Bolivia,2.584,64.928,,
Brazil,1.626,73.425,,
Barbados,1.634,77.706,,
Brunei Darussalam,1.764,74.551,,
Bhutan,1.398,72.229,,12.4
Botswana,2.754,65.913,,
Central African Republic,5.918,54.477,,
Canada,1.33,81.2956097561,,
,1.4956293484,76.7857380588,,
Switzerland,1.39,83.4536585366,,
,1.469,81.583,,
Chile,1.539,79.519,,6.5
China,1.175,78.587,,
Cote d'Ivoire,4.342,58.916,,
Cameroon,4.383,60.958,,
Congo (the Democratic Republic of the),6.106,59.743,,
Congo,4.095,63.053,,
Colombia,1.692,73.659,,36.6
Comoros,3.912,63.68,,
Cabo Verde,1.879,74.722,,
Costa Rica,1.522,77.32,,25.5
,1.9753620052,70.9840247795,,
Cuba,1.449,78.155,,
Curaï¿½ao,1.3,,,
Cayman Islands,,,,
Cyprus,1.311,81.889,,
Czechia,1.6177466029,79.0292682927,,
Germany,1.455,80.7056097561,,
Djibouti,2.757,62.859,,
Dominica,1.588,72.981,,
Denmark,1.55,81.3048780488,,
Dominican Republic,2.247,74.17,,
Algeria,2.829,77.129,,
,1.5289420699,76.1676968092,,
,2.328000802,69.278702597,,
,1.4929458739,76.8908803194,,
,2.1355846441,74.0288334456,,
,1.6615235578,77.8051871534,,
Ecuador,2.003,77.894,,25.2
Egypt,2.878,70.159,,
,1.4491313933,81.7018565022,,
Eritrea,3.786,66.604,,
Spain,1.16,83.0829268293,,20.2
Estonia,1.41,77.943902439,,22.5
Ethiopia,4.063,65.645,,
,1.4615206325,80.8009860381,,
,4.3248495268,61.79320153,,
Finland,1.32,81.187804878,,12.2
Fiji,2.462,68.312,,
France,1.794,82.2292682927,,
Faroe Islands,2.0497,83.3,,
Micronesia (Federated States of),2.669,70.925,,
Gabon,3.46,65.694,,
United Kingdom of Great Britain and Northern Ireland,1.57,82.0585365854,,
Georgia,2.063,71.587,,15.6
Ghana,3.507,63.945,,
Gibraltar,1.837,82.83,,
Guinea,4.303,58.985,,
Gambia,4.586,62.906,,
Guinea-Bissau,3.925,59.861,,
Equatorial Guinea,4.17,61.19,,
Greece,1.43,80.6365853659,,
Grenada,1.986,75.335,,
Greenland,1.839,71.5404878049,,
Guatemala,2.354,68.674,,
Guam,2.55,78.33,,
Guyana,2.369,65.989,,
Hong Kong,0.701,83.6609756098,,
Honduras,2.34,70.728,,
,4.5544148315,62.825284064,,
Croatia,1.53,77.5756097561,,
Haiti,2.773,63.728,,
Hungary,1.52,76.0170731707,,
,1.819041428,72.9134905321,,
,2.3828808834,70.4671467914,,
,3.8816031403,64.0074332547,,
,4.0349977129,61.2894334441,,
Indonesia,2.153,68.25,,9.5
,3.8071840223,65.3642224172,,
Isle of Man,1.571,80.762,,
India,2.011,67.744,,
Ireland,1.7,83.056097561,,
Iran,1.681,74.556,,
Iraq,3.445,71.336,,
Iceland,1.589,82.1707317073,,
Israel,2.89,82.7,,
Italy,1.24,82.9,,
Jamaica,1.34,70.629,,
Jordan,2.786,74.215,,
Japan,1.26,83.9963414634,,
Kazakhstan,3.05,74.44,,5.2
Kenya,3.296,62.055,,
Kyrgyzstan,2.8,72.0487804878,,
Cambodia,2.322,69.896,,
Kiribati,3.271,67.661,,
Saint Kitts and Nevis,1.512,72.027,,
S. Korea,0.778,82.6804878049,,
Kuwait,2.092,80.264,,
,1.8352130442,73.6091669105,,
Lao People's Democratic Republic,2.448,68.999,,
Lebanon,2.08,74.416,,
Liberia,4.016,61.1,,
Libya,2.402,72.151,,
Saint Lucia,1.387,71.294,,
,1.8378309704,73.7501213409,,
